1, 4, 9, 13
1, 4, 9, 20
1, 4, 13, 24
1, 6, 12, 13
1, 7, 11, 13
1, 7, 13, 19
1, 10, 11, 13
1, 10, 11, 15
1, 10, 12, 13
1, 10, 12, 15
1, 10, 12, 19
1, 12, 13, 25
1, 12, 15, 25
1, 12, 19, 25
1, 13, 14, 25
1, 13, 19, 25
1, 15, 16, 25
2, 14, 16, 18
2, 15, 16, 18
3, 8, 19, 24
3, 14, 16, 18
3, 15, 16, 18
4, 8, 10, 11
4, 8, 10, 13
4, 8, 11, 24
4, 8, 13, 19
4, 8, 19, 24
4, 9, 10, 11
4, 9, 10, 13
4, 9, 15, 19
4, 9, 19, 22
4, 16, 19, 25
4, 16, 20, 25
4, 16, 21, 25
4, 17, 20, 25
4, 17, 21, 25
5, 6, 8, 23
5, 7, 8, 23
5, 10, 14, 16
5, 10, 14, 17
6, 7, 8, 23
6, 10, 14, 16
6, 10, 14, 17
7, 10, 14, 16
7, 10, 14, 17
11, 12, 16, 23
11, 13, 16, 23
11, 17, 23, 24
12, 13, 16, 23
13, 17, 23, 24
